RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-02-28,2023-04-30,2024-01-31
97524,15103,94037,zip,CA,CA,Moss Beach,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2023-01-31,-0.9,-1.7,-2.7
81217,15105,53103,zip,WI,WI,Vernon,"Milwaukee-Waukesha, WI",Waukesha County,2023-01-31,0.7,1.5,0.1
89988,15105,73169,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,2023-01-31,-0.4,-0.8,-1.5
99446,15105,97844,zip,OR,OR,Irrigon,"Hermiston-Pendleton, OR",Morrow County,2023-01-31,-0.1,0.5,1.3
90304,15109,74116,zip,OK,OK,Tulsa,"Tulsa, OK",Tulsa County,2023-01-31,0.0,0.1,0.1
64429,15111,16051,zip,PA,PA,Portersville,"Pittsburgh, PA",Butler County,2023-01-31,-0.2,-0.1,-0.7
67070,15111,21837,zip,MD,MD,Mardela Springs,"Salisbury, MD-DE",Wicomico County,2023-01-31,0.6,1.2,1.5
77338,15113,44824,zip,OH,OH,Castalia,"Sandusky, OH",Erie County,2023-01-31,0.3,0.4,0.6
87437,15113,67056,zip,KS,KS,Halstead,"Wichita, KS",Harvey County,2023-01-31,0.6,0.7,1.4
99238,15115,97380,zip,OR,OR,Siletz,"Newport, OR",Lincoln County,2023-01-31,0.0,0.0,1.6
63215,15116,13656,zip,NY,NY,La Fargeville,"Watertown-Fort Drum, NY",Jefferson County,2023-01-31,0.1,0.5,-1.1
67336,15118,22637,zip,VA,VA,Gore,"Winchester, VA-WV",Frederick County,2023-01-31,-0.3,-0.7,-0.9
79665,15118,49284,zip,MI,MI,Springport,"Jackson, MI",Jackson County,2023-01-31,1.1,2.5,1.6
88406,15118,69357,zip,NE,NE,Mitchell,"Scottsbluff, NE",Scotts Bluff County,2023-01-31,0.1,0.0,-1.7
63708,15121,14750,zip,NY,NY,Lakewood,"Jamestown-Dunkirk-Fredonia, NY",Chautauqua County,2023-01-31,0.0,0.5,1.8
66956,15123,21658,zip,MD,MD,Queenstown,"Baltimore-Columbia-Towson, MD",Queen Annes County,2023-01-31,-0.1,-0.3,-1.8
60915,15124,08020,zip,NJ,NJ,Clarksboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,2023-01-31,0.7,1.7,0.6
75253,15126,39330,zip,MS,MS,Enterprise,"Meridian, MS",Clarke County,2023-01-31,1.0,1.9,1.3
65363,15129,18092,zip,PA,PA,Zionsville,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,2023-01-31,-0.3,-0.4,-0.3
69530,15129,27831,zip,NC,NC,Gaston,"Roanoke Rapids, NC",Northampton County,2023-01-31,-0.3,1.5,3.9
95275,15133,87043,zip,NM,NM,Placitas,"Albuquerque, NM",Sandoval County,2023-01-31,-0.2,-0.4,0.9
79630,15134,49246,zip,MI,MI,Horton,"Jackson, MI",Jackson County,2023-01-31,0.8,1.9,2.3
81789,15134,54614,zip,WI,WI,Bangor,"La Crosse-Onalaska, WI-MN",La Crosse County,2023-01-31,0.3,0.7,-0.4
81395,15136,53574,zip,WI,WI,,"Madison, WI",Green County,2023-01-31,0.4,1.0,-0.4
63459,15137,14202,zip,NY,NY,Buffalo,"Buffalo-Cheektowaga, NY",Erie County,2023-01-31,-0.3,0.7,-0.7
69250,15137,27233,zip,NC,NC,Climax,"Greensboro-High Point, NC",Randolph County,2023-01-31,1.3,2.8,4.0
86023,15137,63369,zip,MO,MO,Old Monroe,"St. Louis, MO-IL",Lincoln County,2023-01-31,0.0,1.6,-0.5
76690,15140,43450,zip,OH,OH,Pemberville,"Toledo, OH",Wood County,2023-01-31,0.6,1.5,0.0
62872,15141,12966,zip,NY,NY,North Bangor,"Malone, NY",Franklin County,2023-01-31,0.2,1.0,1.8
70119,15141,28669,zip,NC,NC,Roaring River,"North Wilkesboro, NC",Wilkes County,2023-01-31,0.1,0.5,3.6
78710,15141,47638,zip,IN,IN,Wadesville,"Evansville, IN-KY",Posey County,2023-01-31,0.2,0.4,0.2
70269,15145,29039,zip,SC,SC,Cordova,"Orangeburg, SC",Orangeburg County,2023-01-31,1.7,3.4,2.7
62323,15146,11978,zip,NY,NY,Westhampton Beach,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2023-01-31,-0.7,-1.3,-2.5
67562,15146,23146,zip,VA,VA,Rockville,"Richmond, VA",Hanover County,2023-01-31,0.3,0.5,0.7
81862,15146,54738,zip,WI,WI,Eleva,"Eau Claire, WI",Eau Claire County,2023-01-31,0.1,0.4,-0.4
86027,15150,63377,zip,MO,MO,Silex,"St. Louis, MO-IL",Lincoln County,2023-01-31,-0.4,-0.7,-0.4
75002,15151,38773,zip,MS,MS,Shaw,"Indianola, MS",Sunflower County,2023-01-31,3.7,9.0,3.9
70669,15152,29692,zip,SC,SC,Ware Shoals,"Greenville-Anderson, SC",Laurens County,2023-01-31,2.6,6.7,7.1
